"filename", "language", "TypeScript", "JavaScript", "JSON", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/dimerson/Desktop/Projects/mx-backend/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/dimerson/Desktop/Projects/mx-backend/index.js", "JavaScript", 0, 212, 0, 0, 0, 0, 23, 1, 236
"/Users/dimerson/Desktop/Projects/mx-backend/index.ts", "TypeScript", 224, 0, 0, 0, 0, 0, 24, 41, 289
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 1, 3
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/index.js", "JavaScript", 0, 41, 0, 0, 0, 0, 2, 1, 44
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/index.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 2, 8, 46
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/package-lock.json", "JSON", 0, 0, 2429, 0, 0, 0, 0, 1, 2430
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/package.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 1, 54
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/CustomGrantType.js", "JavaScript", 0, 41, 0, 0, 0, 0, 4, 1, 46
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/apiController.js", "JavaScript", 0, 81, 0, 0, 0, 0, 1, 1, 83
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/apiController.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 1, 8, 76
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/authController.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 1, 111
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/authController.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 0, 12, 138
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/payController.js", "JavaScript", 0, 47, 0, 0, 0, 0, 4, 1, 52
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/payController.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 4, 5, 45
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/taskController.js", "JavaScript", 0, 201, 0, 0, 0, 0, 15, 1, 217
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/taskController.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 15, 47, 253
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/userController.js", "JavaScript", 0, 504, 0, 0, 0, 0, 38, 1, 543
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/controllers/userController.ts", "TypeScript", 532, 0, 0, 0, 0, 0, 38, 104, 674
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/middleware/auth.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 1, 60
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/middleware/auth.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Client.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 1, 35
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Client.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Code.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 1, 34
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Code.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Confirmation.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 33
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Confirmation.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Token.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 33
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/Token.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/User.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 1, 120
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/User.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 12, 146
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/models/oauthModel.js", "JavaScript", 0, 75, 0, 0, 0, 0, 10, 1, 86
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/apiRoute.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/apiRoute.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/authRoute.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/authRoute.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 6, 13
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/payRoute.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/payRoute.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/taskRoute.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 17
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/taskRoute.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/userRoute.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/routes/userRoute.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/types/express.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8, 4, 20
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/client.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/client.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/email.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/email.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/oauthServer.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 1, 47
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/passport.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 1, 50
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/passport.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 1, 6, 53
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/txt.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/txt.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 1, 5, 25
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 10, 0, 91, 9, 110
"/Users/dimerson/Desktop/Projects/mx-backend/package-lock.json", "JSON", 0, 0, 2471, 0, 0, 0, 0, 1, 2472
"/Users/dimerson/Desktop/Projects/mx-backend/package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 1, 57
"/Users/dimerson/Desktop/Projects/mx-backend/public/success.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 1, 42
"/Users/dimerson/Desktop/Projects/mx-backend/src/CustomGrantType.js", "JavaScript", 0, 41, 0, 0, 0, 0, 4, 1, 46
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/apiController.js", "JavaScript", 0, 81, 0, 0, 0, 0, 1, 1, 83
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/apiController.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 1, 8, 76
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/authController.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 1, 111
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/authController.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 0, 12, 138
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/payController.js", "JavaScript", 0, 57, 0, 0, 0, 0, 5, 1, 63
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/payController.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 6, 6, 66
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/taskController.js", "JavaScript", 0, 193, 0, 0, 0, 0, 27, 1, 221
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/taskController.ts", "TypeScript", 186, 0, 0, 0, 0, 0, 27, 45, 258
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/userController.js", "JavaScript", 0, 549, 0, 0, 0, 0, 33, 1, 583
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/userController.ts", "TypeScript", 582, 0, 0, 0, 0, 0, 33, 116, 731
"/Users/dimerson/Desktop/Projects/mx-backend/src/middleware/auth.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 1, 60
"/Users/dimerson/Desktop/Projects/mx-backend/src/middleware/auth.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Client.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 1, 35
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Client.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Code.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 1, 34
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Code.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Confirmation.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 33
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Confirmation.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Token.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 1, 33
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/Token.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/User.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 1, 121
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/User.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 12, 148
"/Users/dimerson/Desktop/Projects/mx-backend/src/models/oauthModel.js", "JavaScript", 0, 75, 0, 0, 0, 0, 10, 1, 86
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/apiRoute.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/apiRoute.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/authRoute.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/authRoute.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 6, 13
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/payRoute.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/payRoute.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/taskRoute.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 1, 16
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/taskRoute.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/userRoute.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/dimerson/Desktop/Projects/mx-backend/src/routes/userRoute.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/dimerson/Desktop/Projects/mx-backend/src/types/express.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8, 4, 20
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/client.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/client.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/email.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/email.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/oauthServer.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 1, 47
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/passport.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 1, 50
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/passport.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 1, 6, 53
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/txt.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/src/utils/txt.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 1, 5, 25
"/Users/dimerson/Desktop/Projects/mx-backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 10, 0, 91, 9, 110
"Total", "-", 3020, 3506, 5009, 4, 20, 41, 546, 638, 12784